sample_name,library_ID,project_title,bioproject_id,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
A7Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A7Jenny03_R1.fastq.gz,A7Jenny03_R2.fastq.gz,,,,
A7Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A7Jenny1_R1.fastq.gz,A7Jenny1_R2.fastq.gz,,,,
A8Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A8Jenny02_R1.fastq.gz,A8Jenny02_R2.fastq.gz,,,,
A8Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A8Jenny03_R1.fastq.gz,A8Jenny03_R2.fastq.gz,,,,
A8Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A8Jenny1_R1.fastq.gz,A8Jenny1_R2.fastq.gz,,,,
A9Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A9Jenny02_R1.fastq.gz,A9Jenny02_R2.fastq.gz,,,,
A9Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A9Jenny03_R1.fastq.gz,A9Jenny03_R2.fastq.gz,,,,
A9Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,A9Jenny1_R1.fastq.gz,A9Jenny1_R2.fastq.gz,,,,
B10Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B10Jenny02_R1.fastq.gz,B10Jenny02_R2.fastq.gz,,,,
B10Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B10Jenny03_R1.fastq.gz,B10Jenny03_R2.fastq.gz,,,,
B10Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B10Jenny1_R1.fastq.gz,B10Jenny1_R2.fastq.gz,,,,
B11Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B11Jenny02_R1.fastq.gz,B11Jenny02_R2.fastq.gz,,,,
B11Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B11Jenny03_R1.fastq.gz,B11Jenny03_R2.fastq.gz,,,,
B11Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B11Jenny1_R1.fastq.gz,B11Jenny1_R2.fastq.gz,,,,
B12Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B12Jenny02_R1.fastq.gz,B12Jenny02_R2.fastq.gz,,,,
B12Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B12Jenny03_R1.fastq.gz,B12Jenny03_R2.fastq.gz,,,,
B12Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B12Jenny1_R1.fastq.gz,B12Jenny1_R2.fastq.gz,,,,
B1Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B1Jenny02_R1.fastq.gz,B1Jenny02_R2.fastq.gz,,,,
B1Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B1Jenny03_R1.fastq.gz,B1Jenny03_R2.fastq.gz,,,,
B1Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B1Jenny1_R1.fastq.gz,B1Jenny1_R2.fastq.gz,,,,
B2Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B2Jenny02_R1.fastq.gz,B2Jenny02_R2.fastq.gz,,,,
B2Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B2Jenny03_R1.fastq.gz,B2Jenny03_R2.fastq.gz,,,,
B2Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B2Jenny1_R1.fastq.gz,B2Jenny1_R2.fastq.gz,,,,
B3Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B3Jenny02_R1.fastq.gz,B3Jenny02_R2.fastq.gz,,,,
B3Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B3Jenny03_R1.fastq.gz,B3Jenny03_R2.fastq.gz,,,,
B3Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B3Jenny1_R1.fastq.gz,B3Jenny1_R2.fastq.gz,,,,
B4Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B4Jenny02_R1.fastq.gz,B4Jenny02_R2.fastq.gz,,,,
B4Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B4Jenny03_R1.fastq.gz,B4Jenny03_R2.fastq.gz,,,,
B4Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B4Jenny1_R1.fastq.gz,B4Jenny1_R2.fastq.gz,,,,
B5Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B5Jenny02_R1.fastq.gz,B5Jenny02_R2.fastq.gz,,,,
B5Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B5Jenny03_R1.fastq.gz,B5Jenny03_R2.fastq.gz,,,,
B5Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B5Jenny1_R1.fastq.gz,B5Jenny1_R2.fastq.gz,,,,
B6Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B6Jenny02_R1.fastq.gz,B6Jenny02_R2.fastq.gz,,,,
B6Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B6Jenny03_R1.fastq.gz,B6Jenny03_R2.fastq.gz,,,,
B6Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B6Jenny1_R1.fastq.gz,B6Jenny1_R2.fastq.gz,,,,
B7Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B7Jenny02_R1.fastq.gz,B7Jenny02_R2.fastq.gz,,,,
B7Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B7Jenny1_R1.fastq.gz,B7Jenny1_R2.fastq.gz,,,,
B8Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B8Jenny02_R1.fastq.gz,B8Jenny02_R2.fastq.gz,,,,
B8Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B8Jenny03_R1.fastq.gz,B8Jenny03_R2.fastq.gz,,,,
B8Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B8Jenny1_R1.fastq.gz,B8Jenny1_R2.fastq.gz,,,,
B9Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B9Jenny02_R1.fastq.gz,B9Jenny02_R2.fastq.gz,,,,
B9Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,B9Jenny1_R1.fastq.gz,B9Jenny1_R2.fastq.gz,,,,
C10Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C10Jenny02_R1.fastq.gz,C10Jenny02_R2.fastq.gz,,,,
C10Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C10Jenny03_R1.fastq.gz,C10Jenny03_R2.fastq.gz,,,,
C10Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C10Jenny1_R1.fastq.gz,C10Jenny1_R2.fastq.gz,,,,
C11Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C11Jenny02_R1.fastq.gz,C11Jenny02_R2.fastq.gz,,,,
C11Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C11Jenny03_R1.fastq.gz,C11Jenny03_R2.fastq.gz,,,,
C11Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C11Jenny1_R1.fastq.gz,C11Jenny1_R2.fastq.gz,,,,
C12Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C12Jenny02_R1.fastq.gz,C12Jenny02_R2.fastq.gz,,,,
C12Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C12Jenny03_R1.fastq.gz,C12Jenny03_R2.fastq.gz,,,,
C12Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C12Jenny1_R1.fastq.gz,C12Jenny1_R2.fastq.gz,,,,
C1Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C1Jenny02_R1.fastq.gz,C1Jenny02_R2.fastq.gz,,,,
C1Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C1Jenny1_R1.fastq.gz,C1Jenny1_R2.fastq.gz,,,,
C2Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C2Jenny02_R1.fastq.gz,C2Jenny02_R2.fastq.gz,,,,
C2Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C2Jenny03_R1.fastq.gz,C2Jenny03_R2.fastq.gz,,,,
C2Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C2Jenny1_R1.fastq.gz,C2Jenny1_R2.fastq.gz,,,,
C3Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C3Jenny02_R1.fastq.gz,C3Jenny02_R2.fastq.gz,,,,
C3Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C3Jenny03_R1.fastq.gz,C3Jenny03_R2.fastq.gz,,,,
C3Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C3Jenny1_R1.fastq.gz,C3Jenny1_R2.fastq.gz,,,,
C4Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C4Jenny02_R1.fastq.gz,C4Jenny02_R2.fastq.gz,,,,
C4Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C4Jenny03_R1.fastq.gz,C4Jenny03_R2.fastq.gz,,,,
C4Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C4Jenny1_R1.fastq.gz,C4Jenny1_R2.fastq.gz,,,,
C5Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C5Jenny02_R1.fastq.gz,C5Jenny02_R2.fastq.gz,,,,
C5Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C5Jenny03_R1.fastq.gz,C5Jenny03_R2.fastq.gz,,,,
C5Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C5Jenny1_R1.fastq.gz,C5Jenny1_R2.fastq.gz,,,,
C6Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C6Jenny02_R1.fastq.gz,C6Jenny02_R2.fastq.gz,,,,
C6Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C6Jenny03_R1.fastq.gz,C6Jenny03_R2.fastq.gz,,,,
C6Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C6Jenny1_R1.fastq.gz,C6Jenny1_R2.fastq.gz,,,,
C7Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C7Jenny03_R1.fastq.gz,C7Jenny03_R2.fastq.gz,,,,
C7Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C7Jenny1_R1.fastq.gz,C7Jenny1_R2.fastq.gz,,,,
C8Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C8Jenny02_R1.fastq.gz,C8Jenny02_R2.fastq.gz,,,,
C8Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C8Jenny03_R1.fastq.gz,C8Jenny03_R2.fastq.gz,,,,
C8Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C8Jenny1_R1.fastq.gz,C8Jenny1_R2.fastq.gz,,,,
C9Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C9Jenny02_R1.fastq.gz,C9Jenny02_R2.fastq.gz,,,,
C9Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C9Jenny03_R1.fastq.gz,C9Jenny03_R2.fastq.gz,,,,
C9Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,C9Jenny1_R1.fastq.gz,C9Jenny1_R2.fastq.gz,,,,
D10Heidi5,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,D10Heidi5_R1.fastq.gz,D10Heidi5_R2.fastq.gz,,,,
D10Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,D10Jenny02_R1.fastq.gz,D10Jenny02_R2.fastq.gz,,,,
D10Jenny03,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,D10Jenny03_R1.fastq.gz,D10Jenny03_R2.fastq.gz,,,,
D10Jenny1,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,D10Jenny1_R1.fastq.gz,D10Jenny1_R2.fastq.gz,,,,
D11Heidi5,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,D11Heidi5_R1.fastq.gz,D11Heidi5_R2.fastq.gz,,,,
D11Jenny02,AHMVWJBGX9_8,Hellman IBD Study,SUB15236283,WGS,METAGENOMIC,size fractionation,paired,ILLUMINA,NextSeq 500,Nextera XT,fastq,D11Jenny02_R1.fastq.gz,D11Jenny02_R2.fastq.gz,,,,
